"Year","FIPS","State","County","YPLL_Rate","CI_Low","CI_High"
2010,"06001","California","Alameda",5910.4,5774.9,6045.8
2010,"06005","California","Amador",7165.9,6106.4,8225.4
2010,"06007","California","Butte",8502.6,8054.9,8950.3
2010,"06009","California","Calaveras",6806.4,5888.1,7724.7
2010,"06011","California","Colusa",5545,4489,6601.1
2010,"06013","California","Contra Costa",5600.1,5438,5762.3
2010,"06015","California","Del Norte",10283.1,8905.7,11660.6
2010,"06017","California","El Dorado",6034,5630.9,6437.2
2010,"06019","California","Fresno",7783.2,7582.1,7984.3
2010,"06021","California","Glenn",8588.1,7379.4,9796.8
2010,"06023","California","Humboldt",8582.3,8026.4,9138.3
2010,"06025","California","Imperial",7097.3,6648.7,7545.9
2010,"06027","California","Inyo",9314.9,7544.3,11085.5
2010,"06029","California","Kern",8676.5,8452.2,8900.8
2010,"06031","California","Kings",7423.4,6945.8,7901
2010,"06033","California","Lake",10286.6,9433.2,11140
2010,"06035","California","Lassen",8103.3,6961.9,9244.7
2010,"06037","California","Los Angeles",6087.9,6035.5,6140.3
2010,"06039","California","Madera",7200.1,6721.3,7679
2010,"06041","California","Marin",4052.8,3766.1,4339.4
2010,"06043","California","Mariposa",8065.7,6515.2,9616.3
2010,"06045","California","Mendocino",8704.1,7987.2,9421
2010,"06047","California","Merced",7661.3,7276.9,8045.7
2010,"06049","California","Modoc",9576.1,7192.5,12496.8
2010,"06051","California","Mono",6280.7,4636.4,8318.9
2010,"06053","California","Monterey",5595.2,5348,5842.5
2010,"06055","California","Napa",5763.5,5301.6,6225.3
2010,"06057","California","Nevada",6222.4,5588.4,6856.3
2010,"06059","California","Orange",4701.1,4616.1,4786.1
2010,"06061","California","Placer",5239.5,4958,5521
2010,"06063","California","Plumas",6903.1,5678.1,8128
2010,"06065","California","Riverside",7177.4,7048.2,7306.7
2010,"06067","California","Sacramento",7286.6,7132.4,7440.9
2010,"06069","California","San Benito",4832.2,4210.5,5453.9
2010,"06071","California","San Bernardino",7828.3,7694.8,7961.9
2010,"06073","California","San Diego",5738.6,5646,5831.2
2010,"06075","California","San Francisco",6214.8,6019.2,6410.3
2010,"06077","California","San Joaquin",7571.2,7345.4,7797.1
2010,"06079","California","San Luis Obispo",5707.3,5367.8,6046.9
2010,"06081","California","San Mateo",4554.5,4378,4731.1
2010,"06083","California","Santa Barbara",5655.6,5399.6,5911.6
2010,"06085","California","Santa Clara",4291.4,4185.5,4397.2
2010,"06087","California","Santa Cruz",5199.3,4895.1,5503.6
2010,"06089","California","Shasta",8626.2,8152.6,9099.8
2010,"06091","California","Sierra",9253.4,5442,14709.9
2010,"06093","California","Siskiyou",9578.6,8455.6,10701.6
2010,"06095","California","Solano",6868.2,6594.9,7141.6
2010,"06097","California","Sonoma",5364.2,5137.4,5590.9
2010,"06099","California","Stanislaus",7838.3,7573.3,8103.3
2010,"06101","California","Sutter",6518.6,5955.8,7081.4
2010,"06103","California","Tehama",8220,7409.9,9030.2
2010,"06105","California","Trinity",11402.9,9193.8,13982.6
2010,"06107","California","Tulare",8416.6,8109.8,8723.4
2010,"06109","California","Tuolumne",8256.2,7359.8,9152.6
2010,"06111","California","Ventura",5464.9,5283.1,5646.7
2010,"06113","California","Yolo",5905.3,5527.3,6283.4
2010,"06115","California","Yuba",9736.4,8945.8,10527
2011,"06001","California","Alameda",5855.1,5719.7,5990.5
2011,"06005","California","Amador",6939.5,5985.9,7893.2
2011,"06007","California","Butte",8669.6,8218,9121.2
2011,"06009","California","Calaveras",6456.3,5608.3,7304.2
2011,"06011","California","Colusa",6258.7,5126.3,7391.1
2011,"06013","California","Contra Costa",5543.9,5381.8,5706
2011,"06015","California","Del Norte",11079.4,9670.8,12488
2011,"06017","California","El Dorado",5865.3,5472.1,6258.5
2011,"06019","California","Fresno",7691.7,7494.1,7889.3
2011,"06021","California","Glenn",8468.3,7261.8,9674.7
2011,"06023","California","Humboldt",8943.6,8378.6,9508.5
2011,"06025","California","Imperial",7072.9,6631.2,7514.7
2011,"06027","California","Inyo",9305.9,7564.1,11047.6
2011,"06029","California","Kern",8609,8388.2,8829.8
2011,"06031","California","Kings",7853,7365.2,8340.8
2011,"06033","California","Lake",10039.8,9222.6,10857.1
2011,"06035","California","Lassen",7948.7,6782.6,9114.8
2011,"06037","California","Los Angeles",6008.7,5956.4,6061
2011,"06039","California","Madera",7418.1,6932.9,7903.2
2011,"06041","California","Marin",4003.7,3714.3,4293.2
2011,"06043","California","Mariposa",7749.9,6342.7,9157
2011,"06045","California","Mendocino",8681.1,7969,9393.1
2011,"06047","California","Merced",7466,7087.7,7844.4
2011,"06049","California","Modoc",9578.2,7265.9,12392.7
2011,"06051","California","Mono",6167.8,4529.4,8205.6
2011,"06053","California","Monterey",5338.1,5096.8,5579.4
2011,"06055","California","Napa",5457.2,5009.1,5905.3
2011,"06057","California","Nevada",5905.8,5308,6503.6
2011,"06059","California","Orange",4692.1,4606.8,4777.4
2011,"06061","California","Placer",5043.6,4772.9,5314.4
2011,"06063","California","Plumas",7208.6,5931.5,8485.6
2011,"06065","California","Riverside",7061.7,6936,7187.4
2011,"06067","California","Sacramento",7193.5,7040.7,7346.3
2011,"06069","California","San Benito",4888,4256.2,5519.8
2011,"06071","California","San Bernardino",7675.1,7544.6,7805.5
2011,"06073","California","San Diego",5677.1,5585.2,5769.1
2011,"06075","California","San Francisco",5792.9,5607.8,5978
2011,"06077","California","San Joaquin",7538.6,7315.4,7761.9
2011,"06079","California","San Luis Obispo",5810.8,5478.5,6143.2
2011,"06081","California","San Mateo",4527.7,4349.7,4705.7
2011,"06083","California","Santa Barbara",5620,5364.8,5875.2
2011,"06085","California","Santa Clara",4199.1,4095.1,4303.1
2011,"06087","California","Santa Cruz",5251.7,4942.9,5560.5
2011,"06089","California","Shasta",8841.1,8355.5,9326.8
2011,"06091","California","Sierra",6703,3299.6,12109.4
2011,"06093","California","Siskiyou",9809,8700.6,10917.5
2011,"06095","California","Solano",7179.6,6894.6,7464.7
2011,"06097","California","Sonoma",5444.1,5211.7,5676.5
2011,"06099","California","Stanislaus",7716,7455.8,7976.1
2011,"06101","California","Sutter",6464.6,5913.4,7015.7
2011,"06103","California","Tehama",8395.7,7591.2,9200.3
2011,"06105","California","Trinity",12337.8,10009.9,15044.6
2011,"06107","California","Tulare",8439.9,8133.8,8745.9
2011,"06109","California","Tuolumne",8288.6,7379.4,9197.8
2011,"06111","California","Ventura",5431.5,5250.2,5612.8
2011,"06113","California","Yolo",5677.9,5307.2,6048.7
2011,"06115","California","Yuba",9643.8,8875.6,10412
2012,"06001","California","Alameda",5689.66,5556.733,5822.587
2012,"06005","California","Amador",6915.98,5973.494,7858.466
2012,"06007","California","Butte",8636.58,8198.246,9074.914
2012,"06009","California","Calaveras",6266.56,5479.973,7053.147
2012,"06011","California","Colusa",6407.8,5269.373,7546.227
2012,"06013","California","Contra Costa",5364.52,5207.72,5521.32
2012,"06015","California","Del Norte",10312.26,8982.243,11642.277
2012,"06017","California","El Dorado",5409.12,5035.25,5782.99
2012,"06019","California","Fresno",7379.5,7188.733,7570.267
2012,"06021","California","Glenn",7931.66,6774.711,9088.609
2012,"06023","California","Humboldt",9350.47,8767.429,9933.511
2012,"06025","California","Imperial",6568.06,6148.855,6987.265
2012,"06027","California","Inyo",8263,6709.857,9816.143
2012,"06029","California","Kern",8414.34,8199.681,8628.999
2012,"06031","California","Kings",7636.08,7162.72,8109.44
2012,"06033","California","Lake",9583.01,8789.308,10376.712
2012,"06035","California","Lassen",7322.43,6245.959,8398.901
2012,"06037","California","Los Angeles",5776.22,5725.084,5827.356
2012,"06039","California","Madera",7312.98,6839.64,7786.32
2012,"06041","California","Marin",3845.82,3563.992,4127.648
2012,"06043","California","Mariposa",8616.67,7044.26,10189.08
2012,"06045","California","Mendocino",8430.48,7726.605,9134.355
2012,"06047","California","Merced",7183.51,6817.519,7549.501
2012,"06049","California","Modoc",9412.75,7055.987,11769.513
2012,"06051","California","Mono",5444.52,3783.204,7105.836
2012,"06053","California","Monterey",5225.35,4987.288,5463.412
2012,"06055","California","Napa",5365.32,4924.869,5805.771
2012,"06057","California","Nevada",5629.52,5067.804,6191.236
2012,"06059","California","Orange",4597.47,4513.523,4681.417
2012,"06061","California","Placer",5030.7,4766.492,5294.908
2012,"06063","California","Plumas",6744.52,5470.344,8018.696
2012,"06065","California","Riverside",6761.52,6641.705,6881.335
2012,"06067","California","Sacramento",6856.68,6709.288,7004.072
2012,"06069","California","San Benito",4661.82,4050.398,5273.242
2012,"06071","California","San Bernardino",7346.06,7220.287,7471.833
2012,"06073","California","San Diego",5543.02,5452.958,5633.082
2012,"06075","California","San Francisco",5757.02,5568.135,5945.905
2012,"06077","California","San Joaquin",7338.46,7120.802,7556.118
2012,"06079","California","San Luis Obispo",5602.71,5283.661,5921.759
2012,"06081","California","San Mateo",4253.75,4084.837,4422.663
2012,"06083","California","Santa Barbara",5443.71,5194.614,5692.806
2012,"06085","California","Santa Clara",4051.6,3950.601,4152.599
