county,state,annual_v_cumulative,total_pop_change,natural_change,births,deaths,total,international,domestic
United States,United States,Annual ,"3,304,757","518,638","3,605,563","3,086,925","2,786,119","2,786,119",(X)
Autauga County,Alabama,Annual ,"1,028",169,738,569,863,136,727
Baldwin County,Alabama,Annual ,"7,501",-150,"2,505","2,655","7,645","1,075","6,570"
Barbour County,Alabama,Annual ,-286,-81,259,340,-204,32,-236
Bibb County,Alabama,Annual ,368,-6,250,256,375,2,373
Blount County,Alabama,Annual ,386,-90,692,782,480,55,425
Bullock County,Alabama,Annual ,-7,-21,98,119,12,17,-5
Butler County,Alabama,Annual ,-101,-77,198,275,-25,8,-33
Calhoun County,Alabama,Annual ,24,-325,"1,334","1,659",350,92,258
Chambers County,Alabama,Annual ,-274,-129,399,528,-142,104,-246
Cherokee County,Alabama,Annual ,438,-233,194,427,667,65,602
Chilton County,Alabama,Annual ,737,1,556,555,741,170,571
Choctaw County,Alabama,Annual ,-211,-127,71,198,-81,12,-93
Clarke County,Alabama,Annual ,-163,-38,298,336,-126,3,-129
Clay County,Alabama,Annual ,82,-47,163,210,130,8,122
Cleburne County,Alabama,Annual ,247,-37,174,211,286,8,278
Coffee County,Alabama,Annual ,651,83,698,615,571,200,371
Colbert County,Alabama,Annual ,403,-207,610,817,616,72,544
Conecuh County,Alabama,Annual ,-68,-65,128,193,-4,5,-9
Coosa County,Alabama,Annual ,24,-71,82,153,94,-3,97
Covington County,Alabama,Annual ,-113,-243,393,636,132,-1,133
Crenshaw County,Alabama,Annual ,-54,-51,164,215,-2,32,-34
Cullman County,Alabama,Annual ,695,-234,999,"1,233",926,70,856
Dale County,Alabama,Annual ,215,107,687,580,105,67,38
Dallas County,Alabama,Annual ,-749,-152,410,562,-591,121,-712
DeKalb County,Alabama,Annual ,496,-159,807,966,660,214,446
Elmore County,Alabama,Annual ,626,62,923,861,561,55,506
Escambia County,Alabama,Annual ,48,-112,416,528,161,8,153
Etowah County,Alabama,Annual ,33,-427,"1,185","1,612",460,164,296
Fayette County,Alabama,Annual ,-50,-92,163,255,42,-2,44
Franklin County,Alabama,Annual ,-67,-13,431,444,-52,189,-241
Geneva County,Alabama,Annual ,207,-121,302,423,329,35,294
Greene County,Alabama,Annual ,-172,-34,75,109,-138,0,-138
Hale County,Alabama,Annual ,185,-10,221,231,195,0,195
Henry County,Alabama,Annual ,269,-79,170,249,352,0,352
Houston County,Alabama,Annual ,810,-11,"1,263","1,274",815,261,554
Jackson County,Alabama,Annual ,357,-295,527,822,657,84,573
Jefferson County,Alabama,Annual ,660,208,"7,828","7,620",453,"2,392","-1,939"
Lamar County,Alabama,Annual ,-73,-55,140,195,-16,0,-16
Lauderdale County,Alabama,Annual ,635,-235,942,"1,177",870,150,720
Lawrence County,Alabama,Annual ,62,-165,363,528,225,18,207
Lee County,Alabama,Annual ,"3,576",457,"1,833","1,376","3,103","1,597","1,506"
Limestone County,Alabama,Annual ,"4,139",175,"1,204","1,029","3,979",265,"3,714"
Lowndes County,Alabama,Annual ,-197,-82,102,184,-113,1,-114
Macon County,Alabama,Annual ,-188,-117,141,258,-72,34,-106
Madison County,Alabama,Annual ,"9,464",793,"4,547","3,754","8,680","2,014","6,666"
Marengo County,Alabama,Annual ,-193,-84,211,295,-109,24,-133
Marion County,Alabama,Annual ,44,-119,294,413,165,11,154
Marshall County,Alabama,Annual ,"1,115",287,"1,553","1,266",825,415,410
Mobile County,Alabama,Annual ,594,355,"4,981","4,626",246,762,-516
Monroe County,Alabama,Annual ,-187,-74,219,293,-112,5,-117
Montgomery County,Alabama,Annual ,-72,539,"2,940","2,401",-614,"1,500","-2,114"
Morgan County,Alabama,Annual ,629,-63,"1,482","1,545",691,586,105
Perry County,Alabama,Annual ,-53,-18,99,117,-33,19,-52
Pickens County,Alabama,Annual ,-233,-83,185,268,-149,6,-155
Pike County,Alabama,Annual ,-39,2,374,372,-43,121,-164
Randolph County,Alabama,Annual ,278,-66,223,289,345,21,324
Russell County,Alabama,Annual ,45,-156,535,691,199,42,157
St Clair County,Alabama,Annual ,"1,440",-126,"1,018","1,144","1,562",43,"1,519"
Shelby County,Alabama,Annual ,"2,376",703,"2,469","1,766","1,673",953,720
Sumter County,Alabama,Annual ,-130,-58,88,146,-71,18,-89
Talladega County,Alabama,Annual ,292,-322,867,"1,189",614,68,546
Tallapoosa County,Alabama,Annual ,-10,-292,362,654,282,83,199
Tuscaloosa County,Alabama,Annual ,"2,008",563,"2,552","1,989","1,426","1,064",362
Walker County,Alabama,Annual ,415,-249,831,"1,080",672,136,536
Washington County,Alabama,Annual ,-22,-13,189,202,-9,1,-10
Wilcox County,Alabama,Annual ,-60,-17,114,131,-42,0,-42
Winston County,Alabama,Annual ,196,-105,272,377,304,56,248
Aleutians East Borough,Alaska,Annual ,103,-3,19,22,106,163,-57
Aleutians West Census Area,Alaska,Annual ,167,-5,20,25,171,228,-57
Anchorage Municipality,Alaska,Annual ,"1,668","1,518","3,624","2,106",141,"2,463","-2,322"
Bethel Census Area,Alaska,Annual ,38,197,381,184,-161,30,-191
Bristol Bay Borough,Alaska,Annual ,25,9,13,4,16,12,4
Chugach Census Area,Alaska,Annual ,-145,-9,27,36,-137,12,-149
Copper River Census Area,Alaska,Annual ,-25,-9,21,30,-17,1,-18
Denali Borough,Alaska,Annual ,26,10,19,9,17,12,5
Dillingham Census Area,Alaska,Annual ,16,37,75,38,-20,21,-41
Fairbanks North Star Borough,Alaska,Annual ,-749,759,"1,375",616,"-1,496",353,"-1,849"
Haines Borough,Alaska,Annual ,16,9,25,16,7,10,-3
Hoonah-Angoon Census Area,Alaska,Annual ,34,-6,17,23,40,3,37
Juneau City and Borough,Alaska,Annual ,89,43,267,224,40,95,-55
Kenai Peninsula Borough,Alaska,Annual ,-26,-98,510,608,67,64,3
Ketchikan Gateway Borough,Alaska,Annual ,-31,-13,104,117,-18,62,-80
Kodiak Island Borough,Alaska,Annual ,-5,75,152,77,-81,185,-266
Kusilvak Census Area,Alaska,Annual ,-45,150,208,58,-193,2,-195
Lake and Peninsula Borough,Alaska,Annual ,-22,10,22,12,-31,5,-36
Matanuska-Susitna Borough,Alaska,Annual ,"2,317",491,"1,367",876,"1,839",84,"1,755"
Nome Census Area,Alaska,Annual ,46,82,167,85,-36,15,-51
North Slope Borough,Alaska,Annual ,42,60,125,65,-19,32,-51
Northwest Arctic Borough,Alaska,Annual ,-152,62,137,75,-213,-2,-211
Petersburg Borough,Alaska,Annual ,5,-5,25,30,10,24,-14
Prince of Wales-Hyder Census Area,Alaska,Annual ,38,-4,64,68,43,4,39
Sitka City and Borough,Alaska,Annual ,51,-22,60,82,74,37,37
Skagway Municipality,Alaska,Annual ,18,2,8,6,14,10,4
Southeast Fairbanks Census Area,Alaska,Annual ,165,49,98,49,115,71,44
Wrangell City and Borough,Alaska,Annual ,-8,2,25,23,-11,2,-13
Yakutat City and Borough,Alaska,Annual ,4,-1,1,2,7,3,4
Yukon-Koyukuk Census Area,Alaska,Annual ,-37,-18,58,76,-19,28,-47
Apache County,Arizona,Annual ,-321,-185,685,870,-135,176,-311
Cochise County,Arizona,Annual ,892,-342,"1,230","1,572","1,227",646,581
Coconino County,Arizona,Annual ,227,250,"1,331","1,081",-44,658,-702
Gila County,Arizona,Annual ,13,-449,451,900,470,9,461
Graham County,Arizona,Annual ,681,74,474,400,604,90,514
Greenlee County,Arizona,Annual ,27,44,119,75,-19,64,-83
La Paz County,Arizona,Annual ,180,-206,156,362,381,192,189
Maricopa County,Arizona,Annual ,"57,471","13,548","50,770","37,222","43,827","45,693","-1,866"
Mohave County,Arizona,Annual ,"2,678","-2,293","1,664","3,957","4,944",285,"4,659"
Navajo County,Arizona,Annual ,235,-268,"1,234","1,502",506,171,335
Pima County,Arizona,Annual ,"11,570",-873,"10,039","10,912","12,394","8,351","4,043"
Pinal County,Arizona,Annual ,"27,467","1,000","5,128","4,128","26,370","3,140","23,230"
Santa Cruz County,Arizona,Annual ,861,219,578,359,640,788,-148
Yavapai County,Arizona,Annual ,"2,514","-1,667","1,812","3,479","4,191",645,"3,546"
Yuma County,Arizona,Annual ,"4,862",808,"2,651","1,843","4,032","3,578",454
Arkansas County,Arkansas,Annual ,-245,-76,196,272,-171,4,-175
Ashley County,Arkansas,Annual ,-248,-99,185,284,-148,2,-150
Baxter County,Arkansas,Annual ,226,-368,344,712,592,-1,593
Benton County,Arkansas,Annual ,"9,318","1,768","4,001","2,233","7,534","1,814","5,720"
Boone County,Arkansas,Annual ,120,-108,398,506,233,3,230
Bradley County,Arkansas,Annual ,-174,-42,114,156,-130,-5,-125
Calhoun County,Arkansas,Annual ,26,-39,49,88,65,-1,66
Carroll County,Arkansas,Annual ,230,-8,329,337,242,17,225
Chicot County,Arkansas,Annual ,-235,-137,72,209,-97,-1,-96
Clark County,Arkansas,Annual ,2,-63,240,303,64,-8,72
Clay County,Arkansas,Annual ,-79,-107,136,243,28,10,18
Cleburne County,Arkansas,Annual ,170,-168,232,400,341,-3,344
Cleveland County,Arkansas,Annual ,-19,-59,76,135,42,2,40
Columbia County,Arkansas,Annual ,-169,-119,213,332,-51,31,-82
Conway County,Arkansas,Annual ,304,-109,220,329,418,25,393
Craighead County,Arkansas,Annual ,"1,607",372,"1,499","1,127","1,241",55,"1,186"
Crawford County,Arkansas,Annual ,448,-111,704,815,557,90,467
Crittenden County,Arkansas,Annual ,-538,-59,528,587,-477,41,-518
Cross County,Arkansas,Annual ,-259,-96,183,279,-162,65,-227
Dallas County,Arkansas,Annual ,-111,-58,54,112,-52,-3,-49
Desha County,Arkansas,Annual ,-157,-25,106,131,-131,-2,-129
Drew County,Arkansas,Annual ,-51,-40,187,227,-12,19,-31
Faulkner County,Arkansas,Annual ,"1,702",332,"1,466","1,134","1,362",268,"1,094"
Franklin County,Arkansas,Annual ,115,-104,188,292,220,-1,221
Fulton County,Arkansas,Annual ,124,-116,109,225,241,-2,243
Garland County,Arkansas,Annual ,143,-546,960,"1,506",682,114,568
Grant County,Arkansas,Annual ,154,-52,192,244,206,6,200
Greene County,Arkansas,Annual ,228,24,531,507,202,20,182
Hempstead County,Arkansas,Annual ,-216,-101,204,305,-113,23,-136
Hot Spring County,Arkansas,Annual ,54,-203,294,497,260,-2,262
Howard County,Arkansas,Annual ,-113,-54,144,198,-59,8,-67
Independence County,Arkansas,Annual ,16,-15,432,447,31,0,31
Izard County,Arkansas,Annual ,89,-128,121,249,215,-1,216
Jackson County,Arkansas,Annual ,-76,-50,167,217,-27,14,-41
Jefferson County,Arkansas,Annual ,133,-133,729,862,264,68,196
Johnson County,Arkansas,Annual ,11,-76,298,374,86,28,58
Lafayette County,Arkansas,Annual ,-67,-79,37,116,13,0,13
Lawrence County,Arkansas,Annual ,80,-45,175,220,127,10,117
Lee County,Arkansas,Annual ,-117,-39,85,124,-78,1,-79
Lincoln County,Arkansas,Annual ,-32,-64,91,155,31,-2,33
Little River County,Arkansas,Annual ,-140,-106,78,184,-33,2,-35
Logan County,Arkansas,Annual ,97,-139,247,386,238,4,234
Lonoke County,Arkansas,Annual ,465,79,858,779,383,69,314
Madison County,Arkansas,Annual ,98,-41,197,238,138,-1,139
Marion County,Arkansas,Annual ,108,-128,136,264,236,5,231
Miller County,Arkansas,Annual ,-344,-310,283,593,-33,-21,-12
Mississippi County,Arkansas,Annual ,-540,-14,516,530,-521,41,-562
Monroe County,Arkansas,Annual ,-125,-42,94,136,-81,1,-82
Montgomery County,Arkansas,Annual ,-95,-64,72,136,-30,0,-30
Nevada County,Arkansas,Annual ,-122,-63,75,138,-59,-3,-56
Newton County,Arkansas,Annual ,-53,-39,72,111,-13,-1,-12
Ouachita County,Arkansas,Annual ,-109,-139,231,370,32,0,32
Perry County,Arkansas,Annual ,63,-52,106,158,118,8,110
Phillips County,Arkansas,Annual ,-330,-37,208,245,-290,68,-358
Pike County,Arkansas,Annual ,-137,-48,105,153,-87,3,-90
Poinsett County,Arkansas,Annual ,-73,-47,298,345,-27,10,-37
Polk County,Arkansas,Annual ,-56,-126,202,328,70,4,66
Pope County,Arkansas,Annual ,166,99,728,629,64,114,-50
Prairie County,Arkansas,Annual ,-77,-59,77,136,-17,7,-24
Pulaski County,Arkansas,Annual ,505,894,"4,923","4,029",-376,"1,039","-1,415"
Randolph County,Arkansas,Annual ,127,-22,259,281,151,37,114
St Francis County,Arkansas,Annual ,-244,-99,251,350,-146,56,-202
Saline County,Arkansas,Annual ,"1,686",51,"1,400","1,349","1,637",154,"1,483"
Scott County,Arkansas,Annual ,1,-83,128,211,85,2,83
Searcy County,Arkansas,Annual ,18,-31,81,112,52,0,52
Sebastian County,Arkansas,Annual ,832,114,"1,582","1,468",717,182,535
Sevier County,Arkansas,Annual ,81,-23,175,198,106,39,67
Sharp County,Arkansas,Annual ,176,-90,175,265,269,4,265
Stone County,Arkansas,Annual ,108,-78,120,198,186,-3,189
Union County,Arkansas,Annual ,-401,-138,444,582,-262,31,-293
Van Buren County,Arkansas,Annual ,0,-155,134,289,154,8,146
Washington County,Arkansas,Annual ,"4,304","1,509","3,391","1,882","2,770","1,524","1,246"
White County,Arkansas,Annual ,568,-48,919,967,607,27,580
Woodruff County,Arkansas,Annual ,-131,-34,58,92,-98,0,-98
Yell County,Arkansas,Annual ,71,-18,249,267,88,36,52
Alameda County,California,Annual ,"10,918","5,479","15,749","10,270","5,422","27,563","-22,141"
Alpine County,California,Annual ,-27,-18,5,23,-10,5,-15
Amador County,California,Annual ,228,-225,308,533,452,65,387
Butte County,California,Annual ,980,-468,"1,812","2,280","1,441",545,896
Calaveras County,California,Annual ,-75,-231,341,572,157,90,67
Colusa County,California,Annual ,-19,89,279,190,-109,79,-188
Contra Costa County,California,Annual ,"10,428","2,765","11,185","8,420","7,594","12,286","-4,692"
Del Norte County,California,Annual ,438,-128,225,353,566,-1,567
El Dorado County,California,Annual ,383,-274,"1,428","1,702",675,449,226
Fresno County,California,Annual ,"4,226","5,772","13,676","7,904","-1,574","4,855","-6,429"
Glenn County,California,Annual ,114,44,351,307,68,78,-10
Humboldt County,California,Annual ,"-1,629",-511,"1,093","1,604","-1,110",205,"-1,315"
Imperial County,California,Annual ,"1,139",983,"2,372","1,389",154,"1,350","-1,196"
Inyo County,California,Annual ,-63,-54,154,208,-8,30,-38
Kern County,California,Annual ,"5,883","3,358","10,582","7,224","2,469","4,623","-2,154"
Kings County,California,Annual ,"1,632",965,"2,046","1,081",659,794,-135
Lake County,California,Annual ,-170,-347,680,"1,027",180,144,36
Lassen County,California,Annual ,-498,-129,223,352,-371,67,-438
Los Angeles County,California,Annual ,"25,342","24,950","93,953","69,003",271,"100,250","-99,979"
Madera County,California,Annual ,"2,030",732,"2,070","1,338","1,296",592,704
Marin County,California,Annual ,694,-73,"2,097","2,170",758,"2,263","-1,505"
Mariposa County,California,Annual ,52,-71,125,196,123,97,26
Mendocino County,California,Annual ,-179,-223,795,"1,018",47,475,-428
Merced County,California,Annual ,"2,372","1,497","3,651","2,154",856,"1,758",-902
Modoc County,California,Annual ,-75,-113,15,128,38,40,-2
Mono County,California,Annual ,-216,19,95,76,-237,223,-460
Monterey County,California,Annual ,614,"2,644","5,461","2,817","-2,032","3,415","-5,447"
Napa County,California,Annual ,-717,-176,"1,064","1,240",-533,622,"-1,155"
Nevada County,California,Annual ,109,-394,693,"1,087",505,184,321
Orange County,California,Annual ,"15,872","8,437","30,291","21,854","7,389","29,759","-22,370"
Placer County,California,Annual ,"9,223",-246,"3,464","3,710","9,517","2,011","7,506"
Plumas County,California,Annual ,-286,-106,101,207,-182,40,-222
Riverside County,California,Annual ,"26,384","7,801","27,265","19,464","18,546","11,037","7,509"
Sacramento County,California,Annual ,"16,725","4,923","17,367","12,444","11,818","17,677","-5,859"
San Benito County,California,Annual ,818,345,818,473,474,185,289
San Bernardino County,California,Annual ,"13,476","9,604","25,478","15,874","3,724","9,984","-6,260"
San Diego County,California,Annual ,"12,909","12,667","35,738","23,071",292,"24,226","-23,934"
San Francisco County,California,Annual ,"8,375",818,"7,001","6,183","7,552","13,146","-5,594"
San Joaquin County,California,Annual ,"10,199","2,674","8,554","5,880","7,486","7,528",-42
