City,County,Location.State,Location.Country,Data.Shape,Data.Encounter.duration,Data.Description.excerpt,Location.Coordinates.Latitude,Location.Coordinates.Longitude,Dates.Sighted.Year,Dates.Sighted.Month,Date.Sighted.Day,Dates.Sighted.Hour,Dates.Sighted.Minute,Dates.Documented.Year,Dates.Documented.Month,Dates.Documented.Day,lat,lon,sighted_date,year,Avg_Precip_Month_County,Avg_Temp_Month_County,sighting_type,population,data_source
LA MIRADA,LOS ANGELES,CA,US,other,600,Bright&#44 orange&#44 planet sized object first observed near Jupiter&#44 then moved slowly due north for ten minutes then vanished,33.9172222,-118.0111111,2004,1,1,0,10,2004,1,17,33.9172222,-118.0111111,2004-01-01,2004,0.38,49.9,UFO,10014009,2020 Decennial Census
SPRING VALLEY,SAN DIEGO,CA,US,light,1800,Mysterious Red Blinking light of San Diego,32.7447222,-116.9980556,2004,1,1,0,0,2004,1,17,32.7447222,-116.9980556,2004-01-01,2004,0.48,51.4,UFO,3298634,2020 Decennial Census
EL SEGUNDO,LOS ANGELES,CA,US,triangle,2,Bright shiny triangular object droped from the sky then vanished,33.9191667,-118.4155556,2004,1,2,11,45,2004,1,17,33.9191667,-118.4155556,2004-01-02,2004,0.38,49.9,UFO,10014009,2020 Decennial Census
HAYWARD,ALAMEDA,CA,US,egg,300,3 egg shapes over Hayward&#44 CA area,37.6688889,-122.0797222,2004,1,4,10,40,2004,1,17,37.6688889,-122.0797222,2004-01-04,2004,2.48,47.2,UFO,1682353,2020 Decennial Census
PALMDALE,LOS ANGELES,CA,US,oval,300,oval shape craft&#44very bright&#44many blinking lights.,34.5794444,-118.1155556,2004,1,4,22,20,2004,1,17,34.5794444,-118.1155556,2004-01-04,2004,0.38,49.9,UFO,10014009,2020 Decennial Census
EL SEGUNDO,LOS ANGELES,CA,US,sphere,15,High speed ball follows jet&#44 and becomes two smaller objects.,33.9191667,-118.4155556,2004,1,7,16,50,2004,1,17,33.9191667,-118.4155556,2004-01-07,2004,0.38,49.9,UFO,10014009,2020 Decennial Census
GOLETA,SANTA BARBARA,CA,US,triangle,30,Saw 3 lights in a triangle shap and a still position in the night sky.,34.4358333,-119.8266667,2004,1,7,19,0,2004,3,2,34.4358333,-119.8266667,2004-01-07,2004,0.63,49,UFO,448229,2020 Decennial Census
RIVERSIDE,RIVERSIDE,CA,US,light,600,Jan 8th 2004&#44 there was a cirlce of bright red&#44 green&#44 and yellowish orange lights just sitting still in the dark skies.,33.9533333,-117.3952778,2004,1,8,2,0,2005,9,2,33.9533333,-117.3952778,2004-01-08,2004,0.24,52.4,UFO,2418185,2020 Decennial Census
HESPERIA,SAN BERNARDINO,CA,US,triangle,180,orange triangle with 4 lights,34.4263889,-117.3,2004,1,9,19,0,2004,1,17,34.4263889,-117.3,2004-01-09,2004,0.12,48.2,UFO,2181654,2020 Decennial Census
LAGUNA HILLS,ORANGE,CA,US,light,21600,Revolving light seen under moon two nights in a row.,33.6125,-117.7119444,2004,1,9,23,0,2004,1,17,33.6125,-117.7119444,2004-01-09,2004,0.48,56,UFO,3186989,2020 Decennial Census
EUREKA,HUMBOLDT,CA,US,fireball,120,Can firballs move like that?,40.8022222,-124.1625,2004,1,12,7,49,2004,1,17,40.8022222,-124.1625,2004-01-12,2004,10.24,44.2,UFO,136463,2020 Decennial Census
YUCCA VALLEY,SAN BERNARDINO,CA,US,circle,4,a huge flash and then lights,34.1141667,-116.4313889,2004,1,15,22,0,2004,1,17,34.1141667,-116.4313889,2004-01-15,2004,0.12,48.2,UFO,2181654,2020 Decennial Census
SAN BERNARDINO,SAN BERNARDINO,CA,US,unknown,300,UNKNOWN HOVERING OBJECT,34.1083333,-117.2888889,2004,1,16,23,0,2004,1,22,34.1083333,-117.2888889,2004-01-16,2004,0.12,48.2,UFO,2181654,2020 Decennial Census
HESPERIA,SAN BERNARDINO,CA,US,light,300,Fire like light moved like if gravity had no effect on it. Then it became a dot to hide but it acted the same way.,34.4263889,-117.3,2004,1,17,10,0,2004,1,22,34.4263889,-117.3,2004-01-17,2004,0.12,48.2,UFO,2181654,2020 Decennial Census
UNION CITY,ALAMEDA,CA,US,changing,2700,Girating &#44shape changing ufos bouncing in the Bay Area sky with military planes monitoring the situation.,37.5958333,-122.0180556,2004,1,17,18,20,2004,1,22,37.5958333,-122.0180556,2004-01-17,2004,2.48,47.2,UFO,1682353,2020 Decennial Census
LA CRESCENTA,LOS ANGELES,CA,US,chevron,900,long pencil-like fast moving craft wtih steady green lights and a flashing red light,34.2241667,-118.2391667,2004,1,18,0,30,2004,1,22,34.2241667,-118.2391667,2004-01-18,2004,0.38,49.9,UFO,10014009,2020 Decennial Census
CASTRO VALLEY,ALAMEDA,CA,US,light,120,Object travels SLOWLY over Castro Valley&#44 California,37.6941667,-122.0852778,2004,1,20,18,30,2004,1,31,37.6941667,-122.0852778,2004-01-20,2004,2.48,47.2,UFO,1682353,2020 Decennial Census
REDCREST,HUMBOLDT,CA,US,light,2700,We live in Northern Californa in the small town of Recrest around 50 miles south of Eureka. My friend who was outside smoking a ciggare,40.4005556,-123.9488889,2004,1,21,18,50,2004,1,22,40.4005556,-123.9488889,2004-01-21,2004,10.24,44.2,UFO,136463,2020 Decennial Census
WILLITS,MENDOCINO,CA,US,fireball,45,video footage of fireball  and inside  interior which contains a solid shaped craft moving  and hovering,39.4097222,-123.3544444,2004,1,21,20,0,2004,1,31,39.4097222,-123.3544444,2004-01-21,2004,6.94,44.7,UFO,91601,2020 Decennial Census
WILLITS,MENDOCINO,CA,US,fireball,45,video freeze framing reveals fireball turning into a rod of  11 connected smaller light balls and then going back into a fireball shape,39.4097222,-123.3544444,2004,1,21,20,0,2004,2,12,39.4097222,-123.3544444,2004-01-21,2004,6.94,44.7,UFO,91601,2020 Decennial Census
WILLITS,MENDOCINO,CA,US,fireball,30,bright  fireball changing and flashing colors red to white to yellow to orange hovering for 30 minutes and then vanishing,39.4097222,-123.3544444,2004,1,21,20,0,2004,1,22,39.4097222,-123.3544444,2004-01-21,2004,6.94,44.7,UFO,91601,2020 Decennial Census
MORENO VALLEY,RIVERSIDE,CA,US,circle,2,it left at a high speed and it was not that far from the ground&#44 like height of a BIRD,33.9375,-117.2297222,2004,1,22,23,0,2005,7,5,33.9375,-117.2297222,2004-01-22,2004,0.24,52.4,UFO,2418185,2020 Decennial Census
SANTA ROSA,SONOMA,CA,US,light,300,bright light - high altitude crossing sky at high velocity&#44 (no collision beacons).,38.4405556,-122.7133333,2004,1,23,19,45,2004,2,12,38.4405556,-122.7133333,2004-01-23,2004,5.49,47.4,UFO,488863,2020 Decennial Census
SAN DIEGO,SAN DIEGO,CA,US,cigar,300,Bright green mass of light,32.7152778,-117.1563889,2004,1,24,19,40,2004,1,31,32.7152778,-117.1563889,2004-01-24,2004,0.48,51.4,UFO,3298634,2020 Decennial Census
